"Timestamp","What is your gender?","What is the geographic scope of the policy you’re describing?","Which US state do you reside in?","Which Canadian Province / Territory do you reside in?","Does the parental leave policy you're describing include an element of short term disability (STD) cover?","The company whose policy I am describing is a:","What is the name of the company whose policy you are describing?","Do you know the date from which this policy has been in force?","For STD maternity leave, how long in weeks does policy give you off for a vaginal birth with short term disability?","For STD maternity leave, how long in weeks does policy give you off for a caesarean section birth with short term disability?","For STD maternity leave, what the the full pay equivalent duration in weeks which is paid, taking into account periods of partial payment?","How many weeks (paid or unpaid) does the policy provide for Maternity / Primary Caregiver Leave?","For Maternity / Primary Caregiver Leave, what the the full pay equivalent duration in weeks which is paid, taking into account periods of partial payment?","If your company requires you to give notice of pregnancy within a certain period, what is the minimum number of weeks before the due date which is required?","What is the minimum number of weeks of service to qualify for Maternity / Primary Caregiver Leave?","If you leave the company within a certain time period, do you have to pay back your Maternity / Primary Caregiver Leave benefits? If so, enter the number of weeks after return to work within which you would be expected to repay","Are bonuses and/or raises pro-rated if you’re away on leave for part of the year? ","How many weeks (paid or unpaid) does the policy provide for Paternity / Secondary Caregiver Leave?","For Paternity / Secondary Caregiver Leave?, what the the full pay equivalent duration in weeks which is paid, taking into account periods of partial payment?","What is the minimum number of weeks of service to qualify for Paternity / Secondary Caregiver Leave?","If you leave the company within a certain time period, do you have to pay back your Paternity / Secondary Caregiver Leave benefits? If so, enter the number of weeks after return to work within which you would be expected to repay","Are bonuses and/or raises pro-rated if you’re away on Paternity / Secondary Caregiver Leave for part of the year? ","Does any of the parental leave policy described  also apply to fostering?","Does any of the parental leave policy described  also apply to adoptions?","If you have any other comments you’d like to include with your response, please type them here."
"2024/10/02 5:21:15 PM AST","Male","United States","","","No","Wholesale Broker","Personal ","1964-10-22","","","","4","7","8","5","4","No","10","300","7","9","No","No","No","It’s me. "
"2024/10/14 9:24:09 AM AST","Female","United States","New York","","No","Wholesale Broker","Burns and Wilcox","2020-01-01","","","","12","12","0","1","0","Yes","4","4","1","0","Yes","Yes","Yes",""
"2024/10/14 9:28:29 AM AST","Female","Worldwide","","","No","Wholesale Broker","McGill and Partners","2019-10-01","","","","52","46","15","0","0","No","26","26","0","0","No","Yes","Yes",""
"2024/10/14 9:29:37 AM AST","Male","UK","","","No","Carrier","Allied Workd","2014-01-01","","","","12","12","4","0","0","Yes","2","2","52","0","No","Yes","Yes","Poor maternity/paternity benefits "
"2024/10/14 9:30:27 AM AST","Female","For the US, Bermuda and Singapore","","","No","Carrier","AXIS Capital","2019-01-01","","","","16","16","0","0","0","No","2","2","0","0","No","No","Yes","If you’ve been with the Company more than a year, you can take one additional month unpaid and then add paid vacation to get you to six months of maternity leave"
"2024/10/14 9:36:24 AM AST","Female","United States","New Jersey","","Yes","Carrier","Arch","","6","8","6","10","10","4","52","0","Yes","10","10","52","0","Yes","Yes","Yes",""
"2024/10/14 9:37:44 AM AST","Female","United States","Ohio","","Yes","Carrier","AIG","2024-03-01","6","8","6","8","8","2","0","0","Yes","8","8","0","0","Yes","No","Yes","Bonuses are not addressed. Not eligible for raises while actively on leave "
"2024/10/14 9:43:28 AM AST","Female","United States","New York","","Yes","Retail Broker","Patriot Growth Insurance Services","","6","8","16","16","16","0","0","0","No","0","0","0","0","No","Yes","Yes",""
"2024/10/14 9:51:22 AM AST","Female","United States","Pennsylvania","","No","Carrier","FM","","","","","14","14","0","0","1","No","4","4","0","1","No","Yes","Yes",""
"2024/10/14 9:53:21 AM AST","Female","United States","North Carolina","","Yes","Wholesale Broker","CRC Group","2024-01-01","12","12","12","20","20","0","0","0","No","10","10","0","0","No","Yes","Yes",""
"2024/10/14 10:07:03 AM AST","Female","United States","New York","","Yes","Carrier","Liberty Mutual","2024-04-30","8","8","8","8","8","4","52","0","No","8","8","52","0","No","No","Yes","Bonuses prorated if you take extended std (paid at 70% after first 8 weeks) and all leave has to be taken within 120 days of birth or adoption "
"2024/10/14 10:19:54 AM AST","Female","United States","Texas","","Yes","Carrier","Zurich","2019-01-01","6","8","6","6","6","4","52","0","Yes","6","6","52","0","Yes","Yes","Yes",""
"2024/10/14 10:32:10 AM AST","Female","United States","New Jersey","","No","Carrier","Beazley","","","","","26","26","24","0","0","No","26","16","0","0","No","Yes","Yes",""
"2024/10/14 10:34:24 AM AST","Male","United States","Georgia","Nova Scotia","Yes","Retail Broker","Brown & Brown","","6","8","2","12","2","0","12","0","Yes","6","2","1","0","Yes","No","Yes","As a broker we do not hire a temp when someone goes out on leave.  We all just pick up the workload.  Those on parental leave should get full pay since we are not rehiring anyone.  The company is now more profitable during this time because the payroll is off of their books."
"2024/10/14 10:37:14 AM AST","Female","United States","Illinois","","No","Insuretech (retail broker)","Embroker","2015-07-01","","","","12","12","0","0","0","No","22","12","0","0","No","Yes","Yes","Men are actively encouraged to take their full 12 weeks and the majority do though many choose to split it up into a week or two right after and the rest when their partner returns to work."
"2024/10/14 10:41:48 AM AST","Female","United States","Iowa","","Yes","Carrier","Westfield","2023-01-01","6","8","5","6","4","0","0","0","No","4","4","0","0","No","Yes","Yes",""
"2024/10/14 10:52:11 AM AST","Female","United States","California","","No","Retail Broker","Farmers insurance ","2009-07-01","","","","0","0","0","0","0","No","0","0","0","0","No","Yes","Yes","As an agency “owner” you are expected to hire your replacement for the time you will be out. No benefits are offered by the carrier"
"2024/10/14 11:20:46 AM AST","Female","UK","","","No","Professional Services","Aon","","","","","52","24","12","0","0","Yes","4","4","0","0","No","Yes","Yes",""
"2024/10/14 11:29:11 AM AST","Female","United States","Colorado","","Yes","Carrier","AIG","","6","8","100","8","100","0","0","0","No","8","100","0","0","No","No","Yes",""
"2024/10/14 11:32:46 AM AST","Male","Canada","","Ontario","No","Retail Broker","NFP Canada","2021-01-01","","","","76","6","0","2","0","Yes","26","12","2","0","Yes","Yes","Yes","Promotions can happen while on maternity leave"
"2024/10/14 11:45:20 AM AST","Female","United States","Illinois","","Yes","Carrier","AXA XL","","16","16","16","16","16","0","0","0","No","4","4","0","0","No","Yes","Yes",""
"2024/10/14 11:51:47 AM AST","Female","United States","Massachusetts","","Yes","Reinsurance Broker","Gallagher Re","2022-10-01","6","8","6","4","4","4","12","0","No","4","4","12","0","No","Yes","Yes",""
"2024/10/14 12:27:20 PM AST","Female","United States","Illinois","","No","Carrier","Berkshire","2020-01-01","","","","16","16","0","0","0","No","4","4","0","0","No","No","Yes",""
"2024/10/14 12:31:05 PM AST","Female","UK","","","No","Carrier","TOKIO MARINE KILN","","","","","26","26","7","0","0","Yes","26","26","52","0","Yes","Yes","Yes","Really really great experience, TMK deserves all the credit for applying equal maternity and paternity leave! Good experience with male colleagues / secondary parents taking the leave also, culture was to support it! "
"2024/10/14 12:39:52 PM AST","Female","United States","Indiana","","Yes","Carrier","CNA","","12","12","12","12","12","4","52","0","No","6","6","52","0","No","Yes","Yes",""
"2024/10/14 12:39:54 PM AST","Female","United States","Indiana","","Yes","Carrier","CNA","","12","12","12","12","12","4","52","0","No","6","6","52","0","No","Yes","Yes",""
"2024/10/14 1:06:06 PM AST","Female","UK","","","No","Carrier","Ascot ","","","","","51","26","15","0","0","Unsure/Unclear","8","8","0","0","Unsure / Unclear","Unsure / Unclear","Unsure / Unclear",""
